country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Country name,Happiness Score,Social support,Freedom to make life choices,Generosity,Perceptions of corruption
Ghana,137,29.41,16670.0,0.072,3.87,66983634224.0,34.9,63.8,308.0,0.27,0.361,0.14,30792608.0,0.126,0.554,0.0433,17249054.0,7.946527,-1.023194,Ghana,5.088,0.727,0.807,0.123,0.848
Niger,19,46.08,2017.0,-0.025,6.91,12928145120.0,48.0,62.0,509.0,0.29,0.523,0.04,23310715.0,0.118,0.472,0.0047,3850231.0,17.607789,8.081666,Niger,5.074,0.641,0.806,0.018,0.693
Turkmenistan,13,23.83,70630.0,,2.79,40761142857.0,39.3,68.1,7.0,0.88,0.711,2.22,5942089.0,,,0.0391,3092738.0,38.969719,59.556278,Turkmenistan,5.066,0.983,0.877,0.273,0.888
Benin,108,36.22,6476.0,-0.009,4.84,14390709095.0,60.5,61.5,397.0,0.39,0.405,0.08,11801151.0,0.108,0.489,0.0223,5648149.0,9.30769,2.315834,Benin,5.045,0.489,0.757,-0.034,0.661
Laos,32,23.55,17763.0,0.033,2.67,18173839128.0,37.6,67.6,185.0,0.83,0.454,0.37,7169455.0,0.129,0.241,0.0063,2555552.0,19.85627,102.495496,Laos,5.03,0.728,0.91,0.123,0.658
Bangladesh,1265,18.18,84246.0,0.056,2.04,302571254131.0,25.1,72.3,173.0,0.51,0.718,0.58,167310838.0,0.088,0.334,0.0419,60987417.0,23.684994,90.356331,Bangladesh,5.025,0.693,0.877,-0.041,0.682
Guinea,53,36.36,2996.0,0.095,4.7,13590281809.0,64.9,61.2,576.0,,0.545,0.08,12771246.0,0.108,0.693,0.043,4661505.0,9.945587,-9.696645,Guinea,4.984,0.639,0.697,0.095,0.766
South Africa,49,20.51,476644.0,0.041,2.41,351431649241.0,28.5,63.9,119.0,,0.077,0.91,58558270.0,0.275,0.292,0.2818,39149717.0,-30.559482,22.937506,South Africa,4.956,0.86,0.749,-0.067,0.86
Turkey,110,16.03,372725.0,0.152,2.07,754411708203.0,9.1,77.4,17.0,3.45,0.169,1.85,83429615.0,0.179,0.423,0.1349,63097818.0,38.963745,35.243322,Turkey,4.948,0.822,0.576,-0.139,0.776
Pakistan,287,28.25,201150.0,0.106,3.51,304400000000.0,57.2,67.1,140.0,0.69,0.665,0.98,216565318.0,0.092,0.339,0.0445,79927762.0,30.375321,69.345116,Pakistan,4.934,0.651,0.726,0.098,0.787
Morocco,83,18.94,61276.0,0.002,2.42,118725279596.0,19.2,76.5,70.0,1.6,0.531,0.73,36910560.0,0.219,0.458,0.0902,22975026.0,31.791702,-7.09262,Morocco,4.918,0.56,0.774,-0.236,0.801
Venezuela,32,17.88,164175.0,2.549,2.27,482359318768.0,21.4,72.1,125.0,0.01,0.458,1.92,28515829.0,,0.733,0.088,25162368.0,6.42375,-66.58973,Venezuela,4.892,0.861,0.615,-0.169,0.827
Georgia,57,13.47,10128.0,0.049,2.06,17743195770.0,8.7,73.6,25.0,0.05,0.573,7.12,3720382.0,0.217,0.099,0.144,2196476.0,42.315407,43.356892,Georgia,4.891,0.671,0.783,-0.238,0.655
Algeria,18,24.28,150006.0,0.02,3.02,169988236398.0,20.1,76.7,112.0,0.95,0.281,1.72,43053054.0,0.372,0.661,0.117,31510100.0,28.033886,1.659626,Algeria,4.887,0.802,0.48,-0.067,0.752
